Sr No.,District,Service,full_address,Latitude,Longitude,service_category,nearest_neighbor_km,local_support_count_15km,district_center_distance_km,suspected_geocode_outlier
16,Nadia,Reliance Petrol Pump Birohi Chakdaha NH34 7908193826,"Reliance Petrol Pump Birohi Chakdaha NH34 7908193826, petrol pump, Nadia, West Bengal, India",22.9930046,88.5384045,Fuel Station,0.0,24,33.264013042814845,False
17,Nadia,Nichakal Hotel Birohi Bhadurburi Dubulia Nadia,"Nichakal Hotel Birohi Bhadurburi Dubulia Nadia, restaurant, Nadia, West Bengal, India",22.9930046,88.5384045,Food/Lodging,0.0,24,33.264013042814845,False
18,Nadia,Rousid Motors Nadia,"Rousid Motors Nadia, Nadia, West Bengal, India",23.4709656,88.55653099999999,Vehicle Repair,0.0,23,20.63701585920733,False
19,Nadia,Sadananda Singh and Bros Chakdaha More NH34 9600111752,"Sadananda Singh and Bros Chakdaha More NH34 9600111752, Nadia, West Bengal, India",23.0796201,88.53328309999999,Other,0.0,25,23.629220144427155,False
20,Nadia,Ghosh Hotel P Santosh Ghosh Mayapur More Nadia,"Ghosh Hotel P Santosh Ghosh Mayapur More Nadia, restaurant, Nadia, West Bengal, India",23.4595304,88.4544837,Food/Lodging,0.0,26,19.533110497515477,False
21,Nadia,National Tyre Service Pvt Ltd NH34,"National Tyre Service Pvt Ltd NH34, Nadia, West Bengal, India",23.3379913,88.4651525,Vehicle Repair,3.9555768130753233,23,6.819468506532043,False
22,Nadia,Nichakal Fuels Indian Oil Ramkrishna Roy 9430457500,"Nichakal Fuels Indian Oil Ramkrishna Roy 9430457500, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553,Fuel Station,0.0,4,24.443952235207373,False
23,Nadia,Bholanath Dhaba Mayapur More Nadia,"Bholanath Dhaba Mayapur More Nadia, restaurant, Nadia, West Bengal, India",23.4595304,88.4544837,Food/Lodging,0.0,26,19.533110497515477,False
24,Nadia,Salam Tyres MD Prabhatnagar Fulia Nadia,"Salam Tyres MD Prabhatnagar Fulia Nadia, Nadia, West Bengal, India",23.220496,88.50817649999999,Vehicle Repair,0.24452140444912468,12,7.821134442126411,False
25,Nadia,Parbati Sankar Filling Station Dinabandhu Paul 9434199038,"Parbati Sankar Filling Station Dinabandhu Paul 9434199038, Nadia, West Bengal, India",23.4156333,88.50784689999999,Fuel Station,0.4973873597339826,29,13.877215801182073,False
26,Nadia,Golden Dhaba P Megha Ghosh Mayapur More Nadia,"Golden Dhaba P Megha Ghosh Mayapur More Nadia, restaurant, Nadia, West Bengal, India",23.4595304,88.4544837,Food/Lodging,0.0,26,19.533110497515477,False
27,Nadia,NB Petrol Service Bhatpara Highway Swapan K Bell 9434158693,"NB Petrol Service Bhatpara Highway Swapan K Bell 9434158693, petrol pump, Nadia, West Bengal, India",23.0918128,88.5987961,Fuel Station,6.837116945809506,21,24.003118553967635,False
28,Nadia,Suri Maa Ghosh Hotel Dipankar Ghosh Haringhata Nadia,"Suri Maa Ghosh Hotel Dipankar Ghosh Haringhata Nadia, restaurant, Nadia, West Bengal, India",23.0331322,88.5343432,Food/Lodging,3.227534840071131,24,28.782712192942213,False
29,Nadia,Biswas Oil Trading Indian Oil Mirjapur 6297481983,"Biswas Oil Trading Indian Oil Mirjapur 6297481983, Nadia, West Bengal, India",23.716274,88.2950877,Fuel Station,0.613397439372053,5,52.04435818056241,False
30,Nadia,Hotel Ramnagar P Nirmal Saha Dubulia,"Hotel Ramnagar P Nirmal Saha Dubulia, restaurant, Nadia, West Bengal, India",23.4923702,88.45322949999999,Food/Lodging,0.0,27,23.092782900505757,False
31,Nadia,Poraswach Chatterjee Bharat Petroleum 9735817290,"Poraswach Chatterjee Bharat Petroleum 9735817290, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553,Fuel Station,0.0,4,24.443952235207373,False
32,Nadia,Tara Maa Hotel Shambhu Sarkar Dubulia,"Tara Maa Hotel Shambhu Sarkar Dubulia, restaurant, Nadia, West Bengal, India",23.4923702,88.45322949999999,Food/Lodging,0.0,27,23.092782900505757,False
33,Nadia,Debnath Fuel Centre Debagram Nadia 9434825642,"Debnath Fuel Centre Debagram Nadia 9434825642, petrol pump, Nadia, West Bengal, India",23.6886494,88.3093517,Fuel Station,0.0,7,48.64684485138569,False
34,Nadia,Swapna Roy Dhaba Haringhata Nadia,"Swapna Roy Dhaba Haringhata Nadia, restaurant, Nadia, West Bengal, India",22.9605105,88.5674032,Food/Lodging,0.6796317732067363,22,37.23161487584899,False
35,Nadia,Kundu Fueling Station Indian Oil Sujit Kundu 9434054219,"Kundu Fueling Station Indian Oil Sujit Kundu 9434054219, petrol pump, Nadia, West Bengal, India",23.1912184,88.56136339999999,Fuel Station,4.523884398008139,13,12.35266555664872,False
36,Nadia,Hotel Bishnudev Bairagya,"Hotel Bishnudev Bairagya, restaurant, Nadia, West Bengal, India",23.4709656,88.55653099999999,Food/Lodging,0.0,23,20.63701585920733,False
37,Nadia,Jaganath Fuel Station Hundaymore Petrol Pump Debasree Saha 9732600722,"Jaganath Fuel Station Hundaymore Petrol Pump Debasree Saha 9732600722, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553,Fuel Station,0.0,4,24.443952235207373,False
38,Nadia,New Apyan Hotel Jugger Bazar Nadia,"New Apyan Hotel Jugger Bazar Nadia, restaurant, Nadia, West Bengal, India",22.9635231,88.5731789,Food/Lodging,0.6796317732067363,20,37.00323047845157,False
39,Nadia,SS Sayan Baba Service Station Rajesh Agarwal 9932979526,"SS Sayan Baba Service Station Rajesh Agarwal 9932979526, Nadia, West Bengal, India",23.4709656,88.55653099999999,Fuel Station,0.0,23,20.63701585920733,False
40,Nadia,Maa Tara North Dhaba Haringhata Nadia,"Maa Tara North Dhaba Haringhata Nadia, restaurant, Nadia, West Bengal, India",22.9608232,88.54423899999999,Food/Lodging,0.7854336118162953,22,36.88358121272227,False
41,Nadia,Maa Sarada Fuel Indian Oil Block C Chandraghata 9434159199,"Maa Sarada Fuel Indian Oil Block C Chandraghata 9434159199, petrol pump, Nadia, West Bengal, India",23.612321,88.38129459999999,Fuel Station,1.0677400296880974,6,38.007476741482876,False
42,Nadia,Highway Dhaba P Anupam Tiwary Panighata Nadia,"Highway Dhaba P Anupam Tiwary Panighata Nadia, restaurant, Nadia, West Bengal, India",23.7211817,88.2923363,Food/Lodging,0.613397439372053,4,52.65718276410193,False
43,Nadia,Krishna Bhadra Reliance Krishna Bhadra 9434105424,"Krishna Bhadra Reliance Krishna Bhadra 9434105424, Nadia, West Bengal, India",23.4709656,88.55653099999999,Other,0.0,23,20.63701585920733,False
44,Nadia,Grand Restaurant P Anindul Haque Debagram Nadia,"Grand Restaurant P Anindul Haque Debagram Nadia, Nadia, West Bengal, India",23.6886494,88.3093517,Food/Lodging,0.0,7,48.64684485138569,False
45,Nadia,Auto Agro Filling Station IOC Srinath Paul 9434487261,"Auto Agro Filling Station IOC Srinath Paul 9434487261, Nadia, West Bengal, India",23.0378861,88.4925183,Fuel Station,2.512468099030249,29,28.16997622969693,False
46,Nadia,Mridha Hotel Bethuadahari Nadia,"Mridha Hotel Bethuadahari Nadia, restaurant, Nadia, West Bengal, India",23.5934791,88.3994749,Food/Lodging,1.73164431201157,8,35.42229504455969,False
47,Nadia,S Garai Brothers IOCL Anath Bandhu Garai 9832309000,"S Garai Brothers IOCL Anath Bandhu Garai 9832309000, Nadia, West Bengal, India",23.3697129,88.482689,Fuel Station,2.1130267305662986,31,9.139499182979286,False
48,Nadia,Sankar Hotel Bethuadahari Nadia,"Sankar Hotel Bethuadahari Nadia, restaurant, Nadia, West Bengal, India",23.605499,88.3886696,Food/Lodging,1.0677400296880974,8,37.041306942334344,False
49,Nadia,Basanti Burner Service Monoj Ghosh 9832055363,"Basanti Burner Service Monoj Ghosh 9832055363, Nadia, West Bengal, India",23.4709656,88.55653099999999,Other,0.0,23,20.63701585920733,False
50,Nadia,Ghosh Mahasay Hessel Bholadangga Nadia,"Ghosh Mahasay Hessel Bholadangga Nadia, Nadia, West Bengal, India",23.4709656,88.55653099999999,Other,0.0,23,20.63701585920733,False
51,Nadia,Kamala Service Station Chittoj Gopal Pal 9433219793,"Kamala Service Station Chittoj Gopal Pal 9433219793, Nadia, West Bengal, India",23.2712301,88.4369701,Fuel Station,2.72707686746267,16,7.560454955403783,False
52,Nadia,Hotel Green Valley Gacha Nadia,"Hotel Green Valley Gacha Nadia, restaurant, Nadia, West Bengal, India",23.2908325,88.4209249,Food/Lodging,2.72707686746267,16,8.877657867542307,False
53,Nadia,Adwaita Auto Service IOC Ashim K Paul 7908641037,"Adwaita Auto Service IOC Ashim K Paul 7908641037, Nadia, West Bengal, India",23.8203418,88.541039,Vehicle Repair,16.152494906850833,0,58.97586954899794,False
54,Nadia,Hotel Honeymoon Mayapur Nadia,"Hotel Honeymoon Mayapur Nadia, restaurant, Nadia, West Bengal, India",23.4232013,88.38826399999999,Food/Lodging,1.8510368740367567,19,19.122254504722495,False
55,Nadia,Ghosh Brothers Filling Station Ashok Ghosh 7010056927,"Ghosh Brothers Filling Station Ashok Ghosh 7010056927, Nadia, West Bengal, India",23.4171454,88.6976348,Fuel Station,6.073578692302079,4,23.929970386666003,False
56,Nadia,Tara Maa Hotel Bishwajit Dey Nabadvip More,"Tara Maa Hotel Bishwajit Dey Nabadvip More, restaurant, Nadia, West Bengal, India",23.4076836,88.3816969,Food/Lodging,1.8510368740367567,20,18.29426178341958,False
57,Nadia,Paulson Highway Filling Station Bharat Petroleum Gunakar Paul 9933513050,"Paulson Highway Filling Station Bharat Petroleum Gunakar Paul 9933513050, petrol pump, Nadia, West Bengal, India",23.2183019,88.50801630000001,Fuel Station,0.24452140444912468,12,8.065053314430825,False
58,Nadia,Pantha Tirtha P Gandhi Kundu Krishnanagar Nadia,"Pantha Tirtha P Gandhi Kundu Krishnanagar Nadia, Nadia, West Bengal, India",23.3879774,88.488404,Other,1.0569785466414954,29,10.982898150456462,False
59,Nadia,Maa Durga Fuel Station Bhabataru Bhawmick 8170031472,"Maa Durga Fuel Station Bhabataru Bhawmick 8170031472, petrol pump, Nadia, West Bengal, India",23.3486636,88.6308825,Fuel Station,2.347380267056092,9,14.113437030424626,False
60,Nadia,Hotel Kings  Sabita Sweets 8972555530 Krishnanagar,"Hotel Kings  Sabita Sweets 8972555530 Krishnanagar, restaurant, Nadia, West Bengal, India",23.3969651,88.4767045,Food/Lodging,0.5210485623400982,28,12.222188152799577,False
61,Nadia,Auto Centre Filling Station Bharat Petroleum Ashok Kr Chakraborty 9051348398,"Auto Centre Filling Station Bharat Petroleum Ashok Kr Chakraborty 9051348398, petrol pump, Nadia, West Bengal, India",23.1755702,88.7115553,Fuel Station,0.0,4,24.443952235207373,False
62,Nadia,Hotel Tarama 96909192 Fulia Nadia,"Hotel Tarama 96909192 Fulia Nadia, restaurant, Nadia, West Bengal, India",23.2086838,88.52138599999999,Food/Lodging,1.735090407867003,14,9.238654574077874,False
63,Nadia,Shyamal Fuels IOCL Tutu Roy 9734665810,"Shyamal Fuels IOCL Tutu Roy 9734665810, petrol pump, Nadia, West Bengal, India",23.9479766,88.6168937,Fuel Station,16.152494906850833,0,73.91080266116985,False
64,Nadia,Nava Hotel P Swapan 8167777711 Habibpur Nadia,"Nava Hotel P Swapan 8167777711 Habibpur Nadia, restaurant, Nadia, West Bengal, India",23.1697666,88.5159743,Food/Lodging,0.0,15,13.48750476479201,False
65,Nadia,Satya Filling Station Debnath 7478561119,"Satya Filling Station Debnath 7478561119, Nadia, West Bengal, India",23.0527069,88.5110528,Fuel Station,2.512468099030249,27,26.48038664992818,False
66,Nadia,Hotel Hawai 810914214 Habibpur,"Hotel Hawai 810914214 Habibpur, restaurant, Nadia, West Bengal, India",23.1697666,88.5159743,Food/Lodging,0.0,15,13.48750476479201,False
67,Nadia,Sarkar Diesel IOCL Arindam Sarkar 9932743175 Badkulla,"Sarkar Diesel IOCL Arindam Sarkar 9932743175 Badkulla, Nadia, West Bengal, India",23.3093108,88.5279858,Fuel Station,5.698695912475926,21,2.907205558202566,False
69,Nadia,Geeta Fuel Point Kalyani 7003192813,"Geeta Fuel Point Kalyani 7003192813, petrol pump, Nadia, West Bengal, India",22.9638394,88.42530730000001,Fuel Station,0.0,23,37.32676725294848,False
70,Nadia,Hotel Krishna Kanan Kalyani NH34,"Hotel Krishna Kanan Kalyani NH34, restaurant, Nadia, West Bengal, India",22.6786756,88.40657809999999,Food/Lodging,0.0,76,68.85359909537996,False
71,Nadia,Popular Fuel Pump Kalyani 9734817661,"Popular Fuel Pump Kalyani 9734817661, petrol pump, Nadia, West Bengal, India",22.9747271,88.43372099999999,Fuel Station,0.0,25,35.957283090239486,False
72,Nadia,Sankar Hotel Dipak Kar NH34 Krishnanagar,"Sankar Hotel Dipak Kar NH34 Krishnanagar, restaurant, Nadia, West Bengal, India",23.3932087,88.4797567,Food/Lodging,0.0,28,11.739399505566867,False
73,Nadia,K D Rampogal Jaguli More NH34 9830834804,"K D Rampogal Jaguli More NH34 9830834804, Nadia, West Bengal, India",23.2587912,88.5373693,Other,0.0,15,4.667713969164053,False
74,Nadia,Ghosh Hotel P Ashok Ghosh Krishnanagar,"Ghosh Hotel P Ashok Ghosh Krishnanagar, restaurant, Nadia, West Bengal, India",23.4151841,88.502997,Food/Lodging,0.0,28,13.836128205843218,False
75,Nadia,Maa Manasha Fuel Pump Kalyani More NH34 9732773554,"Maa Manasha Fuel Pump Kalyani More NH34 9732773554, petrol pump, Nadia, West Bengal, India",22.9797518,88.43771369999999,Fuel Station,0.0,27,35.32614717391256,False
76,Nadia,Hotel Hawai 810914214 Habibpur,"Hotel Hawai 810914214 Habibpur, restaurant, Nadia, West Bengal, India",23.1697666,88.5159743,Food/Lodging,0.0,15,13.48750476479201,False
77,Nadia,Debdatta Service Station Birohi More NH34 7908134833,"Debdatta Service Station Birohi More NH34 7908134833, Nadia, West Bengal, India",22.9717907,88.5058707,Fuel Station,0.0,26,35.47640507813806,False
79,Nadia,Reliance Petrol Pump Birohi Chakdaha NH34 7908193826,"Reliance Petrol Pump Birohi Chakdaha NH34 7908193826, petrol pump, Nadia, West Bengal, India",22.9930046,88.5384045,Fuel Station,0.0,24,33.264013042814845,False
80,Nadia,Hotel Krishna Kanan Kalyani NH34,"Hotel Krishna Kanan Kalyani NH34, restaurant, Nadia, West Bengal, India",22.6786756,88.40657809999999,Food/Lodging,0.0,76,68.85359909537996,False
81,Nadia,Sadananda Singh and Bros Chakdaha More NH34 9600111752,"Sadananda Singh and Bros Chakdaha More NH34 9600111752, Nadia, West Bengal, India",23.0796201,88.53328309999999,Other,0.0,25,23.629220144427155,False
82,Nadia,Sankar Hotel Dipak Kar NH34 Krishnanagar,"Sankar Hotel Dipak Kar NH34 Krishnanagar, restaurant, Nadia, West Bengal, India",23.3932087,88.4797567,Food/Lodging,0.0,28,11.739399505566867,False
83,Nadia,Ghosh Hotel P Ashok Ghosh Krishnanagar,"Ghosh Hotel P Ashok Ghosh Krishnanagar, restaurant, Nadia, West Bengal, India",23.4151841,88.502997,Food/Lodging,0.0,28,13.836128205843218,False
84,Alipurduar,RG Petrol Pump Pro Avik Paul Nimti Chowpathi Kalchini Alipurduar 9735055998,"RG Petrol Pump Pro Avik Paul Nimti Chowpathi Kalchini Alipurduar 9735055998, petrol pump, Alipurduar, West Bengal, India",26.6077517,89.1419524,Fuel Station,13.897923046109822,4,37.79262082510903,False
85,Alipurduar,Sangma Dhaba Jonathan Sangma Garam basty Damanpur Alipurduar 7679791750,"Sangma Dhaba Jonathan Sangma Garam basty Damanpur Alipurduar 7679791750, restaurant, Alipurduar, West Bengal, India",26.5603994,89.5236573,Food/Lodging,0.0,11,0.5325077847550306,False
86,Alipurduar,Om Sai Service Centre  Car washing Garam basty Damanpur Alipurduar 8670815393 9733173211,"Om Sai Service Centre  Car washing Garam basty Damanpur Alipurduar 8670815393 9733173211, Alipurduar, West Bengal, India",26.5602625,89.5262837,Vehicle Repair,0.26166455189089,11,0.7938754452485088,False
87,Alipurduar,Maa Krishna Service Station Pro Subrata Roy Dakshin Satali Alipurduar 9800815464,"Maa Krishna Service Station Pro Subrata Roy Dakshin Satali Alipurduar 9800815464, Alipurduar, West Bengal, India",26.6577415,89.38164490000001,Fuel Station,2.3261150046831363,12,17.370771043215566,False
88,Alipurduar,Ratan Sarkar Garam basty Damanpur Alipurduar 6296951203,"Ratan Sarkar Garam basty Damanpur Alipurduar 6296951203, Alipurduar, West Bengal, India",26.5078913,89.6375994,Other,5.748705211369807,14,13.226347780776372,False
89,Alipurduar,Barman Eng Works Sudhan Barman Garam basty Damanpur Alipurduar 9733166042,"Barman Eng Works Sudhan Barman Garam basty Damanpur Alipurduar 9733166042, Alipurduar, West Bengal, India",26.5557367,89.53242929999999,Other,0.0,11,1.4976075436516998,False
90,Alipurduar,Vishand Trading Company Pro Anita Gupta Hasimara Alipurduar 9534045279,"Vishand Trading Company Pro Anita Gupta Hasimara Alipurduar 9534045279, Alipurduar, West Bengal, India",26.7308712,89.35064229999999,Other,1.1545674539568243,10,25.2383358132997,False
91,Alipurduar,Basak Dhaba Joshna Dhaba Garam basty Damanpur Alipurduar 7384976393,"Basak Dhaba Joshna Dhaba Garam basty Damanpur Alipurduar 7384976393, restaurant, Alipurduar, West Bengal, India",26.5557367,89.53242929999999,Food/Lodging,0.0,11,1.4976075436516998,False
92,Alipurduar,Azad Tyre Anwar Hossain Madarihat Subhash Nagar Alipurduar 7779831952,"Azad Tyre Anwar Hossain Madarihat Subhash Nagar Alipurduar 7779831952, Alipurduar, West Bengal, India",26.6799882,89.26810189999999,Vehicle Repair,0.0,10,28.203600170171242,False
93,Alipurduar,Madarihat Auto Service Pro Rakesh Kalyani Madarihat Alipurduar 9733220350,"Madarihat Auto Service Pro Rakesh Kalyani Madarihat Alipurduar 9733220350, Alipurduar, West Bengal, India",26.6799882,89.26810189999999,Vehicle Repair,0.0,10,28.203600170171242,False
94,Alipurduar,Ganapati Dhaba Naresh Brahma Garam basty Damanpur Alipurduar 7001600375,"Ganapati Dhaba Naresh Brahma Garam basty Damanpur Alipurduar 7001600375, restaurant, Alipurduar, West Bengal, India",26.5557367,89.53242929999999,Food/Lodging,0.0,11,1.4976075436516998,False
95,Alipurduar,Rohit Garage Sushil Roy Ghoramara Kumargram Alipurduar 7319597118,"Rohit Garage Sushil Roy Ghoramara Kumargram Alipurduar 7319597118, auto repair, Alipurduar, West Bengal, India",26.550889,89.822991,Vehicle Repair,10.500370826992777,3,30.32387383213151,False
96,Alipurduar,NES Hasimara Pro Sudipta Haldar Madarihat Alipurduar 8145791710,"NES Hasimara Pro Sudipta Haldar Madarihat Alipurduar 8145791710, Alipurduar, West Bengal, India",26.6924492,89.3412317,Other,3.221987322485555,12,22.92172697339892,False
97,Alipurduar,Rupan Dhar Garam basty Damanpur Alipurduar 7602249737,"Rupan Dhar Garam basty Damanpur Alipurduar 7602249737, Alipurduar, West Bengal, India",26.4449024,89.6250175,Other,7.115120505642318,7,16.664332713752465,False
98,Alipurduar,Dey Auto Mobile Kishor Dey Barobisha Kumargram Alipurduar 9832579199,"Dey Auto Mobile Kishor Dey Barobisha Kumargram Alipurduar 9832579199, Alipurduar, West Bengal, India",26.4762213,89.7583849,Vehicle Repair,5.624982076533892,6,25.655650030833748,False
99,Alipurduar,Elite Service Station Pro Alok Kr Barman Khutimari Alipurduar 9475331329,"Elite Service Station Pro Alok Kr Barman Khutimari Alipurduar 9475331329, Alipurduar, West Bengal, India",26.4495465,89.7103721,Fuel Station,5.624982076533892,5,22.742449149676606,False
100,Alipurduar,Kaludaka Dhaba Ghanabir Siwa Garam basty Damanpur Alipurduar 6296729469,"Kaludaka Dhaba Ghanabir Siwa Garam basty Damanpur Alipurduar 6296729469, restaurant, Alipurduar, West Bengal, India",26.5557367,89.53242929999999,Food/Lodging,0.0,11,1.4976075436516998,False
101,Alipurduar,Hind Tyre Md Haniul Haque Nimti Chowpathi Kalchini Alipurduar 9679499479,"Hind Tyre Md Haniul Haque Nimti Chowpathi Kalchini Alipurduar 9679499479, Alipurduar, West Bengal, India",26.5950885,89.4337475,Vehicle Repair,0.9568726446360032,12,9.251132211193402,False
102,Alipurduar,RG Traders Pro Hrittik Pal Tatpara Samuktala Alipurduar 7797816612,"RG Traders Pro Hrittik Pal Tatpara Samuktala Alipurduar 7797816612, Alipurduar, West Bengal, India",26.48377,89.535046,Other,1.7843155597420597,10,8.682100558411591,False
103,Alipurduar,Pradip Hotel Anabala Sangma Garam basty Damanpur Alipurduar 8670752848,"Pradip Hotel Anabala Sangma Garam basty Damanpur Alipurduar 8670752848, restaurant, Alipurduar, West Bengal, India",26.4780329,89.5183033,Food/Lodging,1.7843155597420597,10,9.15873692546955,False
104,Alipurduar,MS Goutam Trading Agency Pro Bijon Krishna Goutam Barobisha Alipurduar 9434604838,"MS Goutam Trading Agency Pro Bijon Krishna Goutam Barobisha Alipurduar 9434604838, Alipurduar, West Bengal, India",26.540131,89.68276929999999,Other,0.12055952696372758,6,16.513715763691213,False
105,Alipurduar,Moti Agarwal Dhaba Nimti Chowpathi Kalchini Alipurduar 7319097967,"Moti Agarwal Dhaba Nimti Chowpathi Kalchini Alipurduar 7319097967, restaurant, Alipurduar, West Bengal, India",26.6894841,89.44533290000001,Food/Lodging,7.24592116838811,7,16.082240207562432,False
106,Alipurduar,Maa Tara Dhaba Jiban Ghosh Nimti Chowpathi Kalchini Alipurduar 9547902239,"Maa Tara Dhaba Jiban Ghosh Nimti Chowpathi Kalchini Alipurduar 9547902239, restaurant, Alipurduar, West Bengal, India",26.4046599,89.3825611,Food/Lodging,15.786595035994695,0,21.963950323327964,False
107,Alipurduar,Nimti Dhaba Sudhir Ch Dey Nimti Chowpathi Kalchini Alipurduar 9733360525,"Nimti Dhaba Sudhir Ch Dey Nimti Chowpathi Kalchini Alipurduar 9733360525, restaurant, Alipurduar, West Bengal, India",26.6011056,89.4406276,Food/Lodging,0.9568726446360032,12,8.95273348106513,False
108,Alipurduar,New Saini Line Hotel Ajandar Singh Paschim Satali Kalchini Alipurduar 9832055082,"New Saini Line Hotel Ajandar Singh Paschim Satali Kalchini Alipurduar 9832055082, restaurant, Alipurduar, West Bengal, India",26.6745694,89.3677385,Food/Lodging,2.3261150046831363,12,19.62644806083434,False
109,Alipurduar,Laddu Hotel Laddu Dutta Hasimara Alipurduar 8637307610,"Laddu Hotel Laddu Dutta Hasimara Alipurduar 8637307610, restaurant, Alipurduar, West Bengal, India",26.7208893,89.3474413,Food/Lodging,1.1545674539568243,10,24.63443038085549,False
110,Alipurduar,Bajrang Dhaba Sushil Kr Das Madarihat Subhash Nagar Alipurduar 8670723879,"Bajrang Dhaba Sushil Kr Das Madarihat Subhash Nagar Alipurduar 8670723879, restaurant, Alipurduar, West Bengal, India",26.706654,89.2849888,Food/Lodging,1.8484591227805072,9,28.324555735723102,False
111,Alipurduar,Jaldapara Green Inn Hotel  Lodging Ranjit Saha Madarihat Alipurduar 7430039471,"Jaldapara Green Inn Hotel  Lodging Ranjit Saha Madarihat Alipurduar 7430039471, restaurant, Alipurduar, West Bengal, India",26.6905136,89.2805351,Food/Lodging,1.7016521404265055,9,27.71162124458075,False
112,Alipurduar,Diya Hotel Sikandar Mirza Madarihat Alipurduar 9547475754,"Diya Hotel Sikandar Mirza Madarihat Alipurduar 9547475754, restaurant, Alipurduar, West Bengal, India",26.6902397,89.2498602,Food/Lodging,2.1410213815455044,10,30.339533061378305,False
113,Alipurduar,Sangma Dhaba Babinder Mariya Ethelbari Alipurduar 8167677109,"Sangma Dhaba Babinder Mariya Ethelbari Alipurduar 8167677109, restaurant, Alipurduar, West Bengal, India",26.5603994,89.5236573,Food/Lodging,0.0,11,0.5325077847550306,False
114,Alipurduar,Shmiti Priya Hotel Pintu Ghosh Kathaltala Samuktala Alipurduar 7001627989,"Shmiti Priya Hotel Pintu Ghosh Kathaltala Samuktala Alipurduar 7001627989, restaurant, Alipurduar, West Bengal, India",26.5399932,89.68397139999999,Food/Lodging,0.12055952696372758,6,16.63426917463065,False
115,Purulia,Shea Saran Lal Lilu B T Sarkar Rd Ph 9434001147,"Shea Saran Lal Lilu B T Sarkar Rd Ph 9434001147, Purulia, West Bengal, India",23.3284286,86.3610431,Other,0.28960823338235253,17,21.095437248444,False
116,Purulia,Samir Line Hotel Ph 9932874994,"Samir Line Hotel Ph 9932874994, restaurant, Purulia, West Bengal, India",23.3322026,86.3616405,Food/Lodging,0.0,17,20.709801252560386,False
