S.no,District,petrol_pumps,dhabas_hotels,workshops
3,Alipurduar,"Vishand Trading Company, Pro. Anita Gupta, Hasimara, Alipurduar, 9534045279","Basak Dhaba, Joshna Dhaba, Garam basty, Damanpur, Alipurduar, 7384976393","Azad Tyre, Anwar Hossain, Madarihat, Subhash Nagar, Alipurduar, 7779831952"
4,Alipurduar,"Madarihat Auto Service, Pro. Rakesh Kalyani, Madarihat, Alipurduar, 9733220350","Ganapati Dhaba, Naresh Brahma, Garam basty, Damanpur, Alipurduar, 7001600375","Rohit Garage, Sushil Roy, Ghoramara, Kumargram, Alipurduar, 7319597118"
5,Alipurduar,"NES Hasimara, Pro. Sudipta Haldar, Madarihat, Alipurduar, 8145791710","Rupan Dhar, Garam basty, Damanpur, Alipurduar, 7602249737","Dey Auto Mobile, Kishor Dey, Barobisha, Kumargram, Alipurduar, 9832579199"
6,Alipurduar,"Elite Service Station, Pro. Alok Kr. Barman, Khutimari, Alipurduar, 9475331329","Kaludaka Dhaba, Ghanabir Siwa, Garam basty, Damanpur, Alipurduar, 6296729469","Hind Tyre, Md. Haniul Haque, Nimti Chowpathi, Kalchini, Alipurduar, 9679499479"
7,Alipurduar,"R.G. Traders, Pro. Hrittik Pal, Tatpara, Samuktala, Alipurduar, 7797816612","Pradip Hotel, Anabala Sangma, Garam basty, Damanpur, Alipurduar, 8670752848",
8,Alipurduar,"M.S. Goutam Trading Agency, Pro. Bijon Krishna Goutam, Barobisha, Alipurduar, 9434604838","Moti Agarwal Dhaba, Nimti Chowpathi, Kalchini, Alipurduar, 7319097967",
9,Alipurduar,,"Maa Tara Dhaba, Jiban Ghosh, Nimti Chowpathi, Kalchini, Alipurduar, 9547902239",
10,Alipurduar,,"Nimti Dhaba, Sudhir Ch. Dey, Nimti Chowpathi, Kalchini, Alipurduar, 9733360525",
11,Alipurduar,,"New Saini Line Hotel, Ajandar Singh, Paschim Satali, Kalchini, Alipurduar, 9832055082",
12,Alipurduar,,"Laddu Hotel, Laddu Dutta, Hasimara, Alipurduar, 8637307610",
13,Alipurduar,,"Bajrang Dhaba, Sushil Kr Das, Madarihat, Subhash Nagar, Alipurduar, 8670723879",
14,Alipurduar,,"Jaldapara Green Inn Hotel & Lodging, Ranjit Saha, Madarihat, Alipurduar, 7430039471",
15,Alipurduar,,"Diya Hotel, Sikandar Mirza, Madarihat, Alipurduar, 9547475754",
16,Alipurduar,,"Sangma Dhaba, Babinder Mariya, Ethelbari, Alipurduar, 8167677109",
17,Alipurduar,,"Shmiti Priya Hotel, Pintu Ghosh, Kathaltala, Samuktala, Alipurduar, 7001627989",
1,Purulia,Shea Saran Lal Lilu B T Sarkar Rd Ph 9434001147,Samir Line Hotel Ph 9932874994,SK Karim Ph 8637377377
2,Purulia,S Das & Sons Ranchi Rd Ph 9832146822,Trioti Line Hotel Ph 9800334773,Khan Mistri Ph 9932731707
3,Purulia,Sankar Auto Service Manguriya Ph 8159032840,Rana Hotel Ph 8250673157,Sahadeb Garage Ph 9932959660
4,Purulia,Ram Bhagat Bhari Prasad Taxi Stand Ph 9332385109,Pushpa Hotel Ph 9064051759,Sarbari More Garage Ph 9851421785
5,Purulia,Jain Auto Mobile Taxi Stand Ph 9434013489,Puja Hotel Ph 9004088043,Kalu Garage Ph 8001720963
6,Purulia,Sunil Motors Dulmi Nadhya Ph 7001893571,Kunal Hotel Ph 9676598458,Maa Santoshi Garage Ph 9775700739
7,Purulia,Feel & Fill Petro Pvt Ltd Ludhurdha Ph 9434001147,Abhoy Hotel Ph 8972672896,Kismat Garage Ph 8972029766
8,Purulia,Ram Krishna Service Station Hura Ph 7076505556,Charra Line Hotel Ph 9564901169,Garage near Santi Tripti Hotel Ph 9635287703
9,Purulia,,Lmundi Pandey Hotel Ph 9800968450,
10,Purulia,,Ghonga Pandey Hotel Ph 9933520545,
11,Purulia,,Santi Tripti Hotel Ph 9644919131,
12,Purulia,,Gope Hotel Ph 8697092913,
13,Purulia,Ghoshal Auto Filling Block Danga Purulia Barakar Road Ph 7872581522,Laha Hotel Purulia Barakar Road Contact 8116077219,Dislab Repairing Centre Anara Ph 9732388254
14,Purulia,Mandal Auto Filling Raghunathpur Barakar Road 9434023701,Taj Hotel Purulia Barakar Road Contact 7908304429,Mahfuz Repairing Centre Purulia Barakar Road Contact 6296765276
15,Purulia,Everfine Auto Filling Sarbari More Neturia 8016707077,Ranjit Hotel & Dhabas Sarbari More Neturia Contact 9800272633,Mondal Mechanic Shop Raghunathpur Contact 9732252155
16,Purulia,Sarkel Petrol Pump Pahariagora Para 9547759891,Annapurna Hindu Hotel Jhapa More Contact 9800472048,Parbes Repairing Center Purulia Barakar Rd Contact 9046167487
17,Purulia,Narayan H P Petrol Pump Anara 9932319044,Banka Hindu Hotel Dubra Para,Ansari Machine Centre Dubra Para Contact 9082993338
18,Purulia,Pahariagora Petrol Pump Pahariagora Para 9547759891,Suraj Hotel Neturia Contact 9933483476,Firoj Repairing Centre Raghunathpur Barakar Contact 9947450866
19,Purulia,,,Kalim Garage Raghunathpur Purulia Rd Contact 9635895326
20,Purulia,,,SN Auto Anirban Gupta Purulia Barakar Rd Contact 8140503006
21,Purulia,,,Khan Garage Purulia Barakar Rd Contact 9932731707
1,Hooghly,"Renu Service Station at Basipur, Gurap, Hooghly, Mob-9143040928","Shiv Shankar Dhaba, Khaldhar, Gurap, Mob-7063301291","Tarak Nath Motor Garage at Sugandhya, Hooghly, Owner-Sri Biswajit Khan-7003756653"
2,Hooghly,"Rajhat Filling Station, Goyea Dadpur, Hooghly near Maheswarpur More, Owner-Pankaj Pandey-7699935184","Gitanjali Hotel, Gurap, Bhastara, NH2, Mob-9474123006","Lohapatti Garage, under Singur PS, near Ratanpur flyover"
3,Hooghly,"Jay Jagannath Petrol Pump, Baidyabati, Owner-Paritosh Ghosh-9831087503","Koilash Hotel, On 26 no route on NH-2, Mob-9932605526","Biswakarma Motor Garage, Sugandhya opposite Jaya Biscuit Company, Owner-Bhagaban Shaw-9131195964"
4,Hooghly,,"Rabi Baisali Hotel, Mob-7044159026",Garage beside Rabi Baisali Hotel on NH2 under Chanditala PS
5,Hooghly,,"Hotel Bajrangbali, opposite Nabanna under Singur",
6,Hooghly,,Hotel Hindustan under Gurap PS,
7,Hooghly,,"Shibam Dhaba, Baidyabati, Mob-9123626172",
8,Hooghly,"HP Luxmi Petrol Pump 522, Grand Trunk Rd, Mahesh Bose Para, Ph-03326623547","Laltu Dhaba, Durgapur Expy, Monoharpur, Dankuni, Mob-9903611771","Bhandari Automobiles Pvt Ltd, Serampore, Old Delhi Road, Bangihati More, Ph-03366137591"
9,Hooghly,"Indian Oil Petrol Pump Serampore, SH-2 Sreerampore, West Bengal 712203","Punjabi Brother's Dhaba, Delhi Road, Belanagar, Dankuni, Ph-9088844412","Bapuli & Pupuli Mazumdar, 176 GT Road, Sheoraphuli, Hooghly, Ph-9152688209"
10,Hooghly,"Indian Oil Petrol Pump Grand Trunk Rd, Barabagan, Serampore","Malwa Hotel, Durgapur Expy, Dankuni, Ph-8100005320","Gautam Maruti Service Station, Hindmotor, Bhadrakali, Hooghly, Ph-9152950020"
11,Hooghly,"Bharat Petroleum Petrol Pump - B Dey (I) Pvt Ltd, Grand Trunk Rd Serampore","Ludhiana Dhaba, NH2 Old Delhi Road, Dankuni, Ph-9163355787","Rajib Car Service, Musalman Para Lane Serampore, Ph-9477090238"
12,Hooghly,"Bharat Petroleum Petrol Pump - Mukherjee S/S, 224/A Grand Trunk Rd","Sai Baba Hotel, Jagannathpur NH2 Dankuni, Ph-9051899852","Raychowdhury Enterprise, RBC St Serampore, Ph-9836610039"
13,Hooghly,"Banik Filling Station, NH2 Bypass Rajyadharpur Serampore, Ph-9830442456","NH2 Food Junction, TN Mukherjee Road Dankuni, Ph-9437140779","Maruti Suzuki Service Center Serampore, Dakshin Rajyadharpur, Ph-8479881992"
14,Hooghly,"HP Petrol Pump, Ph-9830086064","Samrat Hotel & Restaurant, NS Avenue Serampore, Ph-03326620896","Prakash Motor Works, Castrol Car Care Old GT Road Konnagar, Ph-9836772311"
15,Hooghly,"Castrol Point Petrol Pump, 532A Grand Trunk Rd, Ph-03326524567","Ashirbad Hotel Bangihati Village Rishra, Ph-8013545612","Ghosh Enterprise, Dr Chatterjee Lane Serampore, Ph-9830121732"
16,Hooghly,Bharat Petroleum Petrol Pump Mishra Bros Sheoraphuli GT Road,"Aman Dhaba Mullick Para Serampore, Ph-7576823239","Joy Tara Auto Repair South Rajyadhar Cur West Serampore, Ph-9331021076"
17,Hooghly,"Dankuni Super Service Station Petrol Pump State Highway 13 Dankuni, Ph-9831194582","Amaldar Hotel GT Road Belting Bazar Serampore, Ph-9051200916","Ghosh Automobile Sheoraphuli GT Road, Ph-9874726363"
18,Hooghly,"HP Petrol Pump Durgapur Express Road Dankuni, Ph-8017702622","Dada Bhai Hotel GT Road Sheoraphuli Baidyabati, Ph-8420314936","Das Garage Sheoraphuli GT Road, Ph-9088250132"
19,Hooghly,HP Petrol Pump Dakha Service Station PO Dankuni,"Nabanna Hotel & Restaurant NS Avenue Serampore, Ph-8240100019","TATA Motors Commercial Vehicles Workshop Baidyabati NH2 Delhi Road, Ph-9836496961"
20,Hooghly,"Chaurasia Service Station Old NH2 Delhi Road Dankuni, Ph-9434061472","Hotel Golden Inn Dankuni Coal Complex near Toll Plaza, Ph-7044680948","SK Automobiles Delhi Road Hooghly, Ph-9903095805"
21,Hooghly,Dhaka Service Centre Dankuni Maitypara Ph-03326595388,Chandni Hotel Dankuni Maitypara Ph-7547961392,Seraj Ahamed Dankuni Maitypara Ph-807670659
22,Hooghly,Kalipada Service Centre Dankuni Joykrishnapur Ph-9433056575,Bimal Mondal Hotel Dankuni Maitypara Ph-8335918775,
23,Hooghly,Prafulla Service Centre Teliamore Ph-9836781466,Baishali Hotel Dankuni Joykrishnapur Ph-7046159026,
24,Hooghly,Your Choice Ajabnagar Ph-9433093974,Shree Guru Hindu Hotel Dankuni Joykrishnapur Ph-9831163275,
25,Hooghly,Maa Annapurna Parul Arambagh Hooghly Ph-9083555850,Sri Hari Hotel Mayapur Hooghly Ph-8348100354,Tyre Repair Shop Juman Ansari Arambagh Hooghly Ph-9641038399
26,Hooghly,Samanta Brothers Arambagh Hooghly Ph-9933403092,Rajput Dhaba Goghat Beli Ph-9735493279,Motor Mechanic Electrical Koushik Parui Arambagh Hooghly Ph-9734203189
27,Hooghly,BP Pump Goghat Beli Ph-6289010937,Janapriya Hindu Hotel Kamarpukur Ph-9732583696,Motor Mechanic Mechanical Tapan Jana Arambagh Hooghly Ph-9932250561
28,Hooghly,Indian Oil Pump Chandipur Bengai Ph-9474501151,Kamarpukur Dhaba Kamarpukur Ph-8145585058,Motor Mechanic Mechanical Anuo Karamakar Arambagh Hooghly Ph-9933648202
29,Hooghly,BP Pump Chandipur Bengai Ph-9932879407,Raina Hindu Hotel Adambera Ph-8670504839,TATA Motors Kalipur Arambagh Auto Ph-9434563628
30,Hooghly,HP Pump Khatul Ph-8902797236,Chandni Hindu Hotel Bokultola Goghat Ph-9733053960,Tarama Engg Works Kamarpukur Ph-9733625644
31,Hooghly,BP Pump Kamarpukur Ph-9732526117,Titu Motor Garage Kantai Ph-9735258842,
32,Hooghly,HP Pump Kantai Ph-9933442081,M&M Tractor Rudra Automobile Balibela Ph-9732111166,
33,Hooghly,Indian Oil Kantai Ph-9732296146,,
34,Hooghly,BP Pump Ullaspur Ph-9064467063,,
1,Malda,"Reliance Petro Marketing Pvt Ltd, Pandua","Pardesi Dhaba, Narayanpur, 8617033606","Mantu Automobile, Krishnakalita, 8145669744"
2,Malda,"M/S Bengal Oil Company, Narayanpur","Teesta Dhaba, Rangabhita, 9932672145","Md Anowar Garage, 9474081264"
3,Malda,M/S Utpal Roy Choudhury Gour Bangla,"Lakshmi Hotel, Lakshmipur, 9851545834","Arfan Garage, Kaliachak, 9733385639"
4,Malda,"Paul Brothers, Rathbari, NH34","Pathasathi, Narayanpur, Old Malda, 8918729094","Monalisa Automobile, Gazole, 9732676201"
5,Malda,"Kaliachak Petro Mart, Sultanganj","Master Dhaba, Pandua, 9547380101","M/S Babu, Narayanpur, 9933640699"
6,Malda,"Jhabarmal Mussadi, Mangalbari",,
7,Malda,"M.S Hemraj Ramgopal, Rangavita",,
8,Malda,"COCO Swagat Indian Oil, Kaluadighi, Narayanpur",,
9,Malda,"M/S Gour Fuel Services Station, Gour Bangla",,
10,Malda,"M.S Jysona Kisan Seva Kendra, Gopalganj",,
11,Malda,"M.S Azam Kishan Seva Kendra, Jalapur, Chanchol",,
12,Malda,"M.S Seth Brothers, Adina, Shibari Nagar",,
13,Malda,"M.S SK Paul, Uttar Jadupur",,
1,Howrah,Sen Service Station 9007968248,Grewal Dhaba Foreshore Road,Howrah Orient Motor Kalipara
2,Howrah,Seem Service Station 9830042235,Punjabi Dhaba Andul Road (Gesk Gate),Shalimar Motor Parts Podra on Andul Road
3,Howrah,Sankar Service Station 9831499780,Krishna Hotel Churanhati Andul Road,Raj Motor Foreshore Road
4,Howrah,Madan Service Station 9836686000,Ludhiana Dhaba Ankurhati,Salma Motor Betaitala Phari
5,Howrah,Howrah Motor & Electric Co 9831148153,Hindusthan Hotel Alampur,Ganpati Motor 24 Banebari Bose Road
6,Howrah,Makin Brothers,Chidangar Dhaba Kona,Lala Motor Das Nagar Shampur
7,Howrah,Kanak Service Station 9830194808,Maa Kali Hotel Kona,Rakesh Motor Near Nabanna Bus Stand
8,Howrah,Shroff Brothers 9231551093,Bora Dhaba Alampur,Modi Tyre Betaitala Phari
9,Howrah,Pratap Service Station 9839710771,Hotel Balaram Alampur,Rahamat Repairing Center Betaitala Phari
10,Howrah,Grewal Service Station 9830027222,Moonlight Alampur,RK Motor Parts Alampur
11,Howrah,Sakti Service Station 9830252780,,
12,Howrah,Standard Auto Service 9831148153,,
13,Howrah,Viluar Service Station 9831431090,,
14,Howrah,Beoli Service Station 9830052015,,
15,Howrah,Mishra Service Station,,
16,Howrah,Mathuria Service Station 9831627765,,
17,Howrah,Akash Moni Service Station 9830028954,,
18,Howrah,Karunamoyee Service Station,,
19,Howrah,Sombhunath Service Station 9477656184,,
20,Howrah,Haripada Service Station 9433083476,,
21,Howrah,Harisadan Service Station 9830078437,,
22,Howrah,Anil Service Station 9830078437,,
23,Howrah,Aparna Energy Station 9836213821,,
24,Howrah,Bakultola Motor Stores 9831148153,,
25,Howrah,Panchpara Service Station 9830176605,,
26,Howrah,Arun Service Station 9830078437,,
27,Howrah,Debi Service Station 9836479277,,
28,Howrah,Lakshmi Service Station,,
29,Howrah,Manada Service Station,,
30,Howrah,Manu Filling Centre 7278361691,,
31,Howrah,K C Dey & Brothers 9433167126,,
1,Murshidabad,May Filling Station Khargram 9432139097,Purba Dhalpara Dhaba 6295599095,New Star Service Centre 7001580023
2,Murshidabad,MD Ghosh Filling Station Farakka 9434124831,Hotel Bahadur Safdar 9434320717,Shree Automobile Pvt Ltd NH34 Sargachi
3,Murshidabad,Aruna Filling Station Beldanga 9475056866,Hotel Rang Sagar 9332330630,SM Motors Sargachi
4,Murshidabad,IOC Pump Sargachi 9474570055,Hotel Nizam 9772779155,Vinayak Automobile Behrampore
5,Murshidabad,BP Petrol Pump Murshidabad 8010812930,Babul Hotel Farakka 9738014510,Ashok Leyland Workshop Motors Works
6,Murshidabad,Indian Oil Station Farakka 9434781557,Puraj Mandi Sargachi 8967140960,SK Motors Lalgola
7,Murshidabad,Shakti Service Station Murshidabad 9434000901,Murshidabad Dhaba Samserganj,
8,Murshidabad,Arjun Kumar Filling Station Hosnabad 9434151666,Milan Dhaba Raninagar 9932156306,
9,Murshidabad,Serampore Fuel Service Farakka 7519696788,BCD Dhaba Morgram,
10,Murshidabad,Ali Shah Filling Station Farakka 9434158686,Hotel Ajoyn Farakka 8016800144,
11,Murshidabad,MS Anil Filling Station Farakka 8617643611,,
12,Murshidabad,Maa Laxmi Filling Station Sagar 9931209635,,
13,Murshidabad,Choudhury Brothers Ghorala NH34 9830223648,,
14,Murshidabad,Nandalal Sarkar Chaksapur 9832135612,,
15,Murshidabad,MJ Murshidabad Sewa Reliance Pump 9547479777,,
16,Murshidabad,BP Morgram Petrol Pump 8011813290,,
17,Murshidabad,Faria Filling Station Farakka 8611564005,,
18,Murshidabad,Handpur Fuel Pump Samsherganj 9773556789,,
19,Murshidabad,Annapurna Fuel Station Azimganj 7874211206,,
20,Murshidabad,Gouranga Fuel House Raghunathganj 9832112455,,
21,Murshidabad,Taramore Filling Centre Raghunathganj 9637095065,,
22,Murshidabad,Chowringhee Filling Station Jiaganj 9434514166,,
23,Murshidabad,Gouri Sankar Filling Station Domkal 9434186010,,
24,Murshidabad,Sutirtha Filling Station Suti 8926139785,,
25,Murshidabad,Platinum Fuel Pump Farakka 7731995885,,
26,Murshidabad,Ashutosh Service Station Jalangi 9635143885,,
27,Murshidabad,Aganmala Service Station Murshidabad 9931874044,,
28,Murshidabad,Brothers Farakka Filling Station 9475251754,,
29,Murshidabad,Satish Laxmi Filling Station Lalbagh 7001720355,,
30,Murshidabad,Utpalika Filling Station Jiaganj 9600917259,,
31,Murshidabad,D B S Filling Station Jangipur 9434025925,,
32,Murshidabad,Kedia Filling Station Lalgola 9434082164,,
33,Murshidabad,Mayureshwar Service Station Lalgola,,
34,Murshidabad,Nandalal Shankarlal Chakhaspur Dhuliyan 9475352005,,
35,Murshidabad,Saraju Filling Station Kandi 9434037218,,
36,Murshidabad,Bhandary Brothers Jangipur 9434003521,,
37,Murshidabad,Das Highway Service Jalangi 9733986128,,
38,Murshidabad,MS Mira Biri Filling Station Jangipur 8617643611,,
39,Murshidabad,Mahabani Filling Station Sagardighi 9432093509,,
40,Murshidabad,S Jalaluddin Biswas Reliance Pump Akura Samserganj,,
41,Murshidabad,Suresh Service Station Dhapnagar Morgram 9434173856,,
42,Murshidabad,Chatterjee Highway Filling Station Baduria Para 9732825560,,
43,Murshidabad,Maa Usha Filling Station Raghunathganj 9434745952,,
44,Murshidabad,Nayantara Service Station Gorabari Nabagram 9434001974,,
45,Murshidabad,Niranjan Highway Service Nabagram 9434223366,,
46,Murshidabad,Gousia Motor Co Farakka 9635713255,,
47,Murshidabad,Dhananjoy Lair Domkal 9434024811,,
48,Murshidabad,Kajal Service Station Saktinagar 9732637807,,
49,Murshidabad,Gita Service Station Kandi 9474229735,,
50,Murshidabad,Sagaridighi Auto Fuel Sagardighi 9475678942,,
51,Murshidabad,Sabekisan Saba Center Sherpur 9434585937,,
52,Murshidabad,Sahana Fuels Kandua Farakka 9932982007,,
53,Murshidabad,MS Kishan Filling Station Bhaburpur 9434877419,,
54,Murshidabad,Kalyani Filling Station Agradwip 9432386668,,
55,Murshidabad,Hawa Filling Station Ghazi 9732345485,,
56,Murshidabad,NBC Petrol Pump Jalangi 8926366629,,
57,Murshidabad,Afiya Filling Station Azimganj 9732524136,,
1,Dakshin Dinajpur,"Hemraj Ramgopal, Hili More, Balurghat, 9434055359","Patha Sathi, Patiram Thinkona More, Balurghat","PK Automobiles, Khanpur, 9733341570"
2,Dakshin Dinajpur,"Reliance Pump, Bagicha Para, 8670465916","Nirmala Hotel, Trimohini, Hili, 8609937549","Kundu Engineering Works, Hossenpur, Balurghat, 9851786284"
3,Dakshin Dinajpur,"Dakshin Dinajpur Fuels, Patiram, Balurghat, 9647561502","Deep Hotel, Baul, Bolla, 9933481097","Kar Automobiles, Raghunathpur, 89063134143"
4,Dakshin Dinajpur,,,"Laxmi Engineering Works, Hossenpur, 9735012385"
1,Birbhum,Sani Service Station Plot No 5/5 1419 18 & 21 Lno Mouza Tilpara PS Suri Mob 9434006220,Chhittu Restaurant Opposite Sani Service Station Tilpara Birbhum,
2,Birbhum,Sagnik Highway Service Murormath PO Panuria PS Suri Dist Birbhum West Bengal Mob 8159844300,,
3,Birbhum,Jas Filling Station NH60 Suri Bye Pass Abadurpur Suri Dist Birbhum WB RTKM 148 Lock No11008 Mob 9434029239,,
4,Birbhum,Durga Devi Filling Station Kachubure PO Mohona Dist Birbhum West Bengal RTKM132 Lock No21006 Mob 8927153210,,
5,Birbhum,Reliance Petroleum Khairakuri Md Bazar Birbhum 731227 Mob 9472656129,,
6,Birbhum,Tibrewala Service Station Netaji Subhas Road Suri Birbhum 731101 Mob 9434019150,,
7,Birbhum,Maa Kamala Filling Station Power House Suri Road Dubrajpur Birbhum 731123 Mob 9474611037,,
8,Birbhum,Mayurakshi Filling Station Satkenduri Hetampur Rajbati Birbhum 731123 Mob 03462 206774,,
9,Birbhum,Jay Ram Filling Station Suri Bye Pass NH60 Suri Birbhum,,
10,Birbhum,IOC Petrol Pump After Deucha Bridge Towards Rampurhat NH60 Md Bazar Birbhum,,
11,Birbhum,BPC Petrol Pump Md Bazar Sainthia Road Birbhum,,
12,Birbhum,IOC Petrol Pump Sainthia Kotaspur Main Road Kotaspur Birbhum,,
13,Birbhum,Ahmedpur Petrol Pump Near Ahmedpur BDO Office Birbhum,,
14,Birbhum,HP Petrol Pump Dubrajpur Panchra Road Birbhum,,
15,Birbhum,Joy Durga Filling Station Opp Bolpur Municipal Bus Stand Bolpur Birbhum 731204 Mob 9736006380,,
16,Birbhum,Bholanath Filling Station Suri Futishanko PO Daskalgram District Birbhum 731127 Mob 9434434345,,
17,Birbhum,Joydeb Padmavati Service Station Joydeb More Dubrajpur Road Birbhum 731124 Mob 9732102611,,
18,Birbhum,Fullara Filling Station Labpur Birbhum 731303,,
19,Birbhum,Saha Filling Station Illambazar Birbhum 731214 Mob 9932620781,Radhesyam Mandal Dhabas Illambazar Near Toll Tax 9474404988,Calcutta Motors Illambazar Near Toll Tax 8642066927
20,Birbhum,Reliance Filling Station Rampurhat Munsuba,Sree Dhaba Mallarpur,Bonhati Service Center Rampurhat
21,Birbhum,Maruti Automobiles Nalhati Birbhum 9434740825 9474301314,Milan Paribahan Hotel 9153588986,Tata Service Centre Rampurhat
22,Birbhum,Indian Oil Petrol Pump IC Building Infront of Kishan Mandi Nalhati,Raja Paribahan Hotel NH60 Rampurhat,Samir Auto Works Sanghatamore
23,Birbhum,Gouri Auto Centre Gopalpur Nalhati Birbhum 9434028107 8764868910,Atithi Restaurant Rampurhat 9153663629,Hira Auto Works Batial Rampurhat
