S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
12,Hooghly,"Bharat Petroleum Petrol Pump - Mukherjee S/S, 224/A Grand Trunk Rd","Sai Baba Hotel, Jagannathpur NH2 Dankuni, Ph-9051899852","Raychowdhury Enterprise, RBC St Serampore, Ph-9836610039"
13,Hooghly,"Banik Filling Station, NH2 Bypass Rajyadharpur Serampore, Ph-9830442456","NH2 Food Junction, TN Mukherjee Road Dankuni, Ph-9437140779","Maruti Suzuki Service Center Serampore, Dakshin Rajyadharpur, Ph-8479881992"
14,Hooghly,"HP Petrol Pump, Ph-9830086064","Samrat Hotel & Restaurant, NS Avenue Serampore, Ph-03326620896","Prakash Motor Works, Castrol Car Care Old GT Road Konnagar, Ph-9836772311"
15,Hooghly,"Castrol Point Petrol Pump, 532A Grand Trunk Rd, Ph-03326524567","Ashirbad Hotel Bangihati Village Rishra, Ph-8013545612","Ghosh Enterprise, Dr Chatterjee Lane Serampore, Ph-9830121732"
16,Hooghly,Bharat Petroleum Petrol Pump Mishra Bros Sheoraphuli GT Road,"Aman Dhaba Mullick Para Serampore, Ph-7576823239","Joy Tara Auto Repair South Rajyadhar Cur West Serampore, Ph-9331021076"
17,Hooghly,"Dankuni Super Service Station Petrol Pump State Highway 13 Dankuni, Ph-9831194582","Amaldar Hotel GT Road Belting Bazar Serampore, Ph-9051200916","Ghosh Automobile Sheoraphuli GT Road, Ph-9874726363"
18,Hooghly,"HP Petrol Pump Durgapur Express Road Dankuni, Ph-8017702622","Dada Bhai Hotel GT Road Sheoraphuli Baidyabati, Ph-8420314936","Das Garage Sheoraphuli GT Road, Ph-9088250132"
19,Hooghly,HP Petrol Pump Dakha Service Station PO Dankuni,"Nabanna Hotel & Restaurant NS Avenue Serampore, Ph-8240100019","TATA Motors Commercial Vehicles Workshop Baidyabati NH2 Delhi Road, Ph-9836496961"
20,Hooghly,"Chaurasia Service Station Old NH2 Delhi Road Dankuni, Ph-9434061472","Hotel Golden Inn Dankuni Coal Complex near Toll Plaza, Ph-7044680948","SK Automobiles Delhi Road Hooghly, Ph-9903095805"
21,Hooghly,Dhaka Service Centre Dankuni Maitypara Ph-03326595388,Chandni Hotel Dankuni Maitypara Ph-7547961392,Seraj Ahamed Dankuni Maitypara Ph-807670659
22,Hooghly,Kalipada Service Centre Dankuni Joykrishnapur Ph-9433056575,Bimal Mondal Hotel Dankuni Maitypara Ph-8335918775,
23,Hooghly,Prafulla Service Centre Teliamore Ph-9836781466,Baishali Hotel Dankuni Joykrishnapur Ph-7046159026,
24,Hooghly,Your Choice Ajabnagar Ph-9433093974,Shree Guru Hindu Hotel Dankuni Joykrishnapur Ph-9831163275,
25,Hooghly,Maa Annapurna Parul Arambagh Hooghly Ph-9083555850,Sri Hari Hotel Mayapur Hooghly Ph-8348100354,Tyre Repair Shop Juman Ansari Arambagh Hooghly Ph-9641038399
26,Hooghly,Samanta Brothers Arambagh Hooghly Ph-9933403092,Rajput Dhaba Goghat Beli Ph-9735493279,Motor Mechanic Electrical Koushik Parui Arambagh Hooghly Ph-9734203189
27,Hooghly,BP Pump Goghat Beli Ph-6289010937,Janapriya Hindu Hotel Kamarpukur Ph-9732583696,Motor Mechanic Mechanical Tapan Jana Arambagh Hooghly Ph-9932250561
28,Hooghly,Indian Oil Pump Chandipur Bengai Ph-9474501151,Kamarpukur Dhaba Kamarpukur Ph-8145585058,Motor Mechanic Mechanical Anuo Karamakar Arambagh Hooghly Ph-9933648202
29,Hooghly,BP Pump Chandipur Bengai Ph-9932879407,Raina Hindu Hotel Adambera Ph-8670504839,TATA Motors Kalipur Arambagh Auto Ph-9434563628
30,Hooghly,HP Pump Khatul Ph-8902797236,Chandni Hindu Hotel Bokultola Goghat Ph-9733053960,Tarama Engg Works Kamarpukur Ph-9733625644
31,Hooghly,BP Pump Kamarpukur Ph-9732526117,Titu Motor Garage Kantai Ph-9735258842,
32,Hooghly,HP Pump Kantai Ph-9933442081,M&M Tractor Rudra Automobile Balibela Ph-9732111166,
33,Hooghly,Indian Oil Kantai Ph-9732296146,,
34,Hooghly,BP Pump Ullaspur Ph-9064467063,,
